Drug_A,Drug_B,Level
Droxidopa,Hyaluronidase,No Interaction
Indinavir,Valdecoxib,No Interaction
Ondansetron,Naloxone,Unknown
Acarbose,Capreomycin,No Interaction
Hydroxocobalamin,Simvastatin,Unknown
Nicardipine,Iopodic acid,Moderate
Lindane,Sulfamethoxazole,No Interaction
Ethanol,Levocetirizine,Moderate
Alprostadil,Rolapitant,No Interaction
Gadodiamide,Iohexol,Unknown
Prednisolone,Abametapir (topical),Moderate
Sulfasalazine,Prednisolone,Unknown
Esmolol,Tolbutamide,Moderate
Propofol,Stavudine,No Interaction
Tolbutamide,Omacetaxine mepesuccinate,Moderate
Aldesleukin,Encorafenib,No Interaction
Tacrine,Iohexol,Major
Defibrotide,Phenylephrine (nasal),No Interaction
Argatroban,Sugammadex,Moderate
Naproxen,Topotecan,No Interaction
Ritonavir,Galactose,Unknown
Carboplatin,Strontium chloride Sr-89,Moderate
Acarbose,Ixazomib,No Interaction
Aliskiren,Methotrexate,No Interaction
Dapsone (topical),Prednicarbate (topical),No Interaction
Methotrexate,Iohexol,Major
Pimozide,Sacubitril,No Interaction
Ibritumomab tiuxetan,Typhoid vaccine (inactivated),Moderate
Balsalazide,Pegvisomant,No Interaction
Levobunolol (ophthalmic),Iodipamide,Moderate
Sulfamethoxazole,Iodide I-123,Moderate
Lopinavir,Macimorelin,Major
Alpelisib,Filgrastim,No Interaction
Mefenamic acid,Prednisolone,Moderate
Hydroxocobalamin,Alendronic acid,Unknown
Netupitant,Nitrous acid,No Interaction
Metoprolol,Tolbutamide,Moderate
Lusutrombopag,Quinidine,No Interaction
Betaxolol,Iothalamic acid,Moderate
Dihydroergotamine,Methylene blue,Major
Bempedoic acid,Mercaptopurine,No Interaction
Prednisolone,Influenza A virus A/Vietnam/1194/2004 (H5N1) antigen (formaldehyde inactivated),Moderate
Pegaspargase,Deferasirox,Moderate
Gatifloxacin,Triflupromazine,No Interaction
Candida albicans,Hemin,No Interaction
Bosutinib,Cobicistat,Major
Demecarium (ophthalmic),Flurbiprofen (ophthalmic),No Interaction
Brentuximab vedotin,Suprofen (ophthalmic),No Interaction
Cefoperazone,Codeine,No Interaction
Fesoterodine,Olodaterol,No Interaction
Aminophylline,Roflumilast,No Interaction
Amlodipine,Pyridostigmine,No Interaction
Cobicistat,Betrixaban,Moderate
Benazepril,Benzylpenicillin (sodium),No Interaction
Mepenzolate,Sulfadoxine,No Interaction
Cyclophosphamide,Promethazine,Unknown
Prednisolone,Telmisartan,Moderate
Acetylcysteine,Levobupivacaine,No Interaction
Lidocaine (topical),Phenobarbital,No Interaction
Miglitol,Ethanol,Moderate
Iopromide,Tagraxofusp,No Interaction
Ethanol,Rosuvastatin,Moderate
Folic acid,Ethosuximide,Moderate
Insulin lispro (protamine),Palbociclib,No Interaction
Daunorubicin,Relugolix,No Interaction
Amantadine,Elagolix,No Interaction
Fenofibric acid,Methsuximide,No Interaction
Metaraminol,Necitumumab,No Interaction
Trifluoperazine,Amyl Nitrite,Moderate
Phendimetrazine,Iobenguane (I-123),Moderate
Carbamazepine,Sevelamer,Unknown
Vinorelbine,Acetylcysteine,Unknown
Levamlodipine,Tyropanoic acid,Moderate
Diatrizoate,Givosiran,Major
Lefamulin,Mazindol,No Interaction
Glycopyrronium,Secretin human,Minor
Metaraminol,Iobenguane (I-123),Moderate
Phentolamine,Nitrous acid,Moderate
Levamisole,Strontium chloride Sr-89,Moderate
Deferasirox,Estrone sulfate,Moderate
Benzylpenicillin (potassium),Guanidine,No Interaction
Glecaprevir,Mazindol,No Interaction
Hydromorphone,Phentolamine,Moderate
Hydroxyzine,Iodide I-131,Moderate
Tolbutamide,Dulaglutide,Moderate
Ambrisentan,Isoprenaline,No Interaction
Palifermin,Cytarabine,Moderate
Calcium acetate,Nicardipine,Moderate
Fentanyl,Deferasirox,Moderate
Phenylephrine (nasal),Posaconazole,No Interaction
Ganciclovir,Pegaspargase,No Interaction
Aminolevulinic acid (topical),Glasdegib,No Interaction
Erdafitinib,Fulvestrant,No Interaction
Pramipexole,Sevelamer,Unknown
Mannitol,Pancuronium,Moderate
Oxamniquine,Stiripentol,No Interaction
Phenylephrine,Ticarcillin,No Interaction
Enzalutamide,Tobramycin,No Interaction
Betaxolol (ophthalmic),Iopromide,Moderate
Methylcellulose,Methysergide,No Interaction
Methotrexate,Mannitol,Unknown
Imiquimod,Pantoprazole,No Interaction
Sulfasalazine,Iothalamic acid,Major
Milk thistle,Phentolamine,No Interaction
Ofloxacin,Iopamidol,Major
Promethazine,Eluxadoline,Moderate
Aminosalicylic acid,Ferric carboxymaltose,No Interaction
Chlordiazepoxide,Nitroglycerin,No Interaction
Erdafitinib,Tetraferric tricitrate decahydrate,Major
Atazanavir,Interferon alfa-2b,No Interaction
Homatropine,Istradefylline,No Interaction
Coenzyme M,Frangula purshiana bark,No Interaction
Prednisolone,Fosnetupitant,Moderate
Folic acid,Formoterol,Unknown
Fexofenadine,Ivacaftor,No Interaction
Human botulinum neurotoxin A/B immune globulin,Ranolazine,No Interaction
Dofetilide,Ioxilan,Moderate
Conjugated estrogens,Tolbutamide,Moderate
Betrixaban,Kaolin,No Interaction
Triamcinolone,Leucovorin,Unknown
Samarium (153Sm) lexidronam,Aflibercept,Major
Benzthiazide,Ethanol,Moderate
Alfentanil,Estramustine,No Interaction
Amiloride,Iodixanol,Moderate
Quinine,Tolbutamide,Moderate
Sargramostim,Tolvaptan,No Interaction
Cefotaxime,Prednisolone,Unknown
Deferasirox,Nizatidine,No Interaction
Dexrazoxane,Mumps virus strain B level jeryl lynn live antigen,Major
Palifermin,Thiotepa,Moderate
Warfarin,Ioversol,Unknown
Folic acid,Sodium bicarbonate,Unknown
Metformin,Leucovorin,Unknown
Opicapone,Pantoprazole,No Interaction
Palifermin,Carmustine,Moderate
Prednisolone,Cromoglicic acid,Unknown
Tositumomab (I-131),Clopidogrel,Major
Alprazolam,Amyl Nitrite,Moderate
Tramadol,Trastuzumab deruxtecan,No Interaction
Lisinopril,Temazepam,No Interaction
Cobimetinib,Rizatriptan,No Interaction
Salbutamol,Iopromide,Unknown
Aluminum hydroxide,Pentosan polysulfate,No Interaction
Procyclidine,Ethanol,Moderate
Levorphanol,Iopamidol,Major
Prazosin,Nitrous acid,Moderate
Brimonidine (ophthalmic),Quinidine,No Interaction
Benzocaine (topical),Benzylpenicillin,No Interaction
Clocortolone (topical),Trimethobenzamide,No Interaction
Ioversol,Levobetaxolol (ophthalmic),Moderate
Lofexidine,Phenytoin,No Interaction
Ethambutol,Yohimbine,No Interaction
Fenoprofen,Ethanol,Moderate
Nalidixic acid,Lanthanum carbonate,Moderate
Linezolid,Phentolamine,Moderate
Caffeine,Lithium carbonate,Moderate
Indomethacin,Iopromide,Major
Cefazolin,Fludeoxyglucose (18F),No Interaction
Folic acid,Cabergoline,Unknown
Doxycycline,Lanthanum carbonate,Moderate
Ketoprofen,Tolbutamide,Moderate
Anistreplase,Deferasirox,Major
Rofecoxib,Leucovorin,Unknown
Methimazole,Sulfadoxine,No Interaction
Dexamethasone (ophthalmic),Gadoteric acid,No Interaction
Diamorphine,Satralizumab,No Interaction
Betaxolol (ophthalmic),Tyropanoic acid,Moderate
Glyburide,Insulin lispro (protamine),No Interaction
Bendroflumethiazide,Iopromide,Moderate
Fludrocortisone,Cobicistat,Moderate
Gadodiamide,Ofloxacin,Unknown
Promethazine,Ivosidenib,Major
Triclabendazole,Macimorelin,Major
Lumacaftor,Tetrabenazine,No Interaction
Trabectedin,Deferiprone,Major
Chlorothiazide,Iohexol,Moderate
Aldesleukin,Iopanoic acid,Moderate
Folic acid,Cefotaxime,Unknown
Risperidone,Silodosin,No Interaction
Levobupivacaine,Sodium ferric gluconate complex,No Interaction
Mefenamic acid,Macimorelin,Moderate
Hydromorphone,Methylene blue,Major
Samarium (153Sm) lexidronam,Acalabrutinib,Major
Abacavir,Cobicistat,Moderate
Sulfasalazine,Iodixanol,Major
Diatrizoate,Polythiazide,Moderate
Naphazoline (ophthalmic),Tizanidine,No Interaction
Auranofin,Travoprost,No Interaction
Ibritumomab tiuxetan,Bacillus calmette-guerin substrain tice live antigen,Major
Iobenguane (I-131),Human botulinum neurotoxin A/B immune globulin,Major
Paroxetine,Phenylephrine,No Interaction
Magnesium sulfate,Magnesium chloride,Moderate
Magnesium sulfate,Vecuronium,Moderate
Deferasirox,Fesoterodine,Moderate
Ethiodized oil,Metoclopramide,No Interaction
Ampicillin,Mannitol,Unknown
Iobenguane (I-131),Siponimod,Major
Fluconazole,Galactose,Unknown
Irinotecan (liposomal),Strontium chloride Sr-89,Moderate
Iobenguane (I-123),Levomilnacipran,Moderate
Butalbital,Macimorelin,Moderate
Gadoversetamide,Carbamazepine,Unknown
Amphotericin B (cholesteryl sulfate),Phenoxybenzamine,No Interaction
Meperidine,Diazoxide,Moderate
Hydrocortisone,Acetylcysteine,Unknown
Tadalafil,Ethanol,Moderate
Enoxaparin,Hydrocodone,No Interaction
Metronidazole,Orlistat,No Interaction
Ledipasvir,Naphazoline (nasal),No Interaction
Estrone sulfate,Pasireotide,No Interaction
Atenolol,Leucovorin,Unknown
Anakinra,Bictegravir,No Interaction
Mannitol,Raloxifene,No Interaction
Furosemide,Moxifloxacin,No Interaction
Prednisolone,Enzalutamide,Moderate
Amiloride,Vilazodone,No Interaction
Oxamniquine,Rifampicin,No Interaction
Metformin,Mirtazapine,No Interaction
"Smallpox (Vaccinia) Vaccine, Live",Trandolapril,No Interaction
Human immunoglobulin G (intravenous),Melatonin,No Interaction
Desoximetasone (topical),Tolbutamide,Minor
Sipuleucel-T,Trimetrexate,No Interaction
Phenylbutazone,Pyridostigmine,No Interaction
Diatrizoate,Nimodipine,Moderate
Doxacurium,Penbutolol,No Interaction
Metoprolol,Acetylcysteine,Unknown
Edrophonium,Dexamethasone,Moderate
Diroximel fumarate,Hemin,No Interaction
Mercaptopurine,Necitumumab,No Interaction
Gadobenic acid,Etoposide,Moderate
Linezolid,Acetylcysteine,Unknown
Prednisolone,Iloprost,Unknown
Naloxone,Oliceridine,Moderate
Diroximel fumarate,Fedratinib,No Interaction
Gatifloxacin,Tolbutamide,Major
Ethanol,Belladonna,Moderate
Amphotericin B (cholesteryl sulfate),Ferrous sulfate anhydrous,No Interaction
Propranolol,Amifostine,Moderate
Oxamniquine,Iodide I-131,Moderate
Cefaclor,Enalapril,No Interaction
Ifosfamide,Quetiapine,No Interaction
Tolbutamide,Letermovir,Moderate
Asparaginase Erwinia chrysanthemi,Demecarium (ophthalmic),No Interaction
"Thyroid, porcine",Velpatasvir,No Interaction
Galantamine,Edrophonium,Moderate
Leucovorin,Acyclovir,Unknown
Dofetilide,Iodixanol,Moderate
Fluconazole,Naloxone,Unknown
Dapsone,Promethazine,Unknown
Doxercalciferol,Methoxyflurane,No Interaction
Human immunoglobulin G (intravenous),Iobenguane (I-131),Major
Estrone sulfate,Physostigmine (ophthalmic),No Interaction
Ibritumomab tiuxetan,Tinzaparin,Major
Reteplase,Tositumomab,Major
Salmeterol,Tolbutamide,Moderate
Demecarium (ophthalmic),Promethazine,Moderate
Sevelamer,Cyclobenzaprine,Unknown
Etacrynic acid,Promethazine,Moderate
Furosemide,Ioxilan,Moderate
Tositumomab,Tofacitinib,Major
Cyclopentolate (ophthalmic),Tetrofosmin,No Interaction
Dexamethasone (nasal),Cobicistat,Moderate
Trimetrexate,Strontium chloride Sr-89,Moderate
Prednisolone (ophthalmic),Lonafarnib,Moderate
Phentolamine,Physostigmine,No Interaction
Human cytomegalovirus immune globulin,Monomethyl fumarate,No Interaction
Epirubicin,Phenylephrine (nasal),No Interaction
Pentamidine,gamma-Aminobutyric acid,No Interaction
Garlic,Trastuzumab deruxtecan,No Interaction
Vitamin A,Indomethacin,Unknown
Bretylium,Streptomycin,No Interaction
Ifosfamide,Ioxilan,Major
Prednisolone,Mivacurium,Moderate
Mannitol,Cefuroxime,Unknown
Sugammadex,Apixaban,Moderate
Guanadrel,Amifostine,Moderate
Ranitidine,Ioversol,Unknown
Carbinoxamine,Ruxolitinib,No Interaction
Guanidine,Tagraxofusp,No Interaction
Levofloxacin,Paraldehyde,No Interaction
Folic acid,Clindamycin,Unknown
Magnesium sulfate,Lomefloxacin,Moderate
Aclidinium,Bisoprolol,No Interaction
Paricalcitol,Cobicistat,Moderate
Darunavir,Methylnaltrexone,No Interaction
Levobetaxolol (ophthalmic),Mycophenolate mofetil,No Interaction
Oxcarbazepine,Protriptyline,No Interaction
Terfenadine,Iodide I-123,Moderate
Acarbose,Donepezil,No Interaction
Clopidogrel,Acetylcysteine,Unknown
Benzylpenicillin,Octreotide,No Interaction
Ferric derisomaltose,Sulfadiazine,No Interaction
Folic acid,gamma-Aminobutyric acid,Unknown
Ceftazidime,Doxazosin,No Interaction
Apixaban,Varicella Zoster Vaccine (Recombinant),No Interaction
Triamterene,Iothalamic acid,Moderate
Calcitriol (topical),Prednicarbate (topical),No Interaction
Triamcinolone,Tolbutamide,Moderate
Tyropanoic acid,Ferumoxides,Moderate
Chromium picolinate,Human botulinum neurotoxin A/B immune globulin,No Interaction
Dimercaprol,Polyethylene glycol (3350),No Interaction
Cefuroxime,Tagraxofusp,No Interaction
Cimetidine,Olodaterol,No Interaction
Mivacurium,Sorafenib,No Interaction
Muromonab,Iohexol,Major
Carteolol,Iobenguane (I-131),Major
Pentoxifylline,Terbutaline,No Interaction
Abametapir (topical),Netupitant,No Interaction
Epinephrine (topical),Pentamidine,No Interaction
Hydrocodone,Selexipag,No Interaction
Diethylpropion,Ursodeoxycholic acid,No Interaction
Insulin aspart (aspart protamine),Fludeoxyglucose (18F),Moderate
Folic acid,Chlorzoxazone,Unknown
Radium Ra 223 dichloride,Thioridazine,No Interaction
Sevelamer,Methyldopa,Unknown
Promethazine,Rosuvastatin,Unknown
Ibritumomab tiuxetan,Flurbiprofen,Major
Biperiden,Ethanol,Moderate
Eszopiclone,Gadofosveset trisodium,No Interaction
Methylene blue,Propofol,No Interaction
Dolutegravir,Interferon alfa-n3,No Interaction
Temozolomide,Strontium chloride Sr-89,Moderate
Folic acid,Iloprost,Unknown
Fluorometholone (ophthalmic),Teriflunomide,No Interaction
Albiglutide,Enoxacin,No Interaction
Cyproheptadine,Ethanol,Moderate
Ritonavir,Deferasirox,Moderate
Gallium nitrate,Naloxone,No Interaction
Dextroamphetamine,Iopamidol,Major
Prednisolone,Felodipine,Moderate
Exenatide,Iobenguane (I-131),Moderate
Amoxicillin,Lenvatinib,No Interaction
Iodide I-123,Phenyl salicylate,Moderate
Acyclovir,Prednisolone,Unknown
Lomefloxacin,Solifenacin,No Interaction
Interferon beta-1b,Terazosin,No Interaction
St. John's Wort,Ioflupane I-123,Moderate
Prednisolone,Calcipotriol,Unknown
Naproxen,Ioxilan,Major
Didanosine,Cobicistat,Moderate
Cloxacillin,Iobenguane (I-123),No Interaction
Cocaine (nasal),Paricalcitol,No Interaction
Baclofen,Acetylcysteine,Unknown
Oxaliplatin,Rubella virus vaccine,No Interaction
Salicylic acid (sodium),Tolbutamide,Moderate
Ganciclovir,Sulfinpyrazone,No Interaction
Promethazine,Quazepam,Moderate
Estrone,Prednisolone,Moderate
Iloperidone,Ioflupane I-123,Moderate
Cyproheptadine,Promethazine,Moderate
Metoprolol,Gadoxetic acid,Moderate
Valganciclovir,Samarium (153Sm) lexidronam,Moderate
Sugammadex,Betrixaban,Moderate
Haloperidol,Physostigmine (ophthalmic),Moderate
Acetaminophen,Iodixanol,Unknown
Metformin,Netupitant,No Interaction
Ifosfamide,Iodipamide,Major
Posaconazole,Sodium zirconium cyclosilicate,Moderate
Conjugated estrogens (topical),Ramipril,No Interaction
Iobenguane (I-131),Levomilnacipran,Major
Cephalexin,Hydrocodone,No Interaction
Acetaminophen,Deferasirox,Moderate
Cefpodoxime,Magnesium carbonate,Moderate
Liotrix,Milrinone,No Interaction
Beclomethasone dipropionate,Pyrazinamide,No Interaction
Lurasidone,Ioflupane I-123,Moderate
Palifermin,Cladribine,Moderate
Ospemifene,Telavancin,No Interaction
Deferasirox,Gallium nitrate,Major
Interferon gamma-1b,Strontium chloride Sr-89,Moderate
Fluticasone,Talimogene laherparepvec,No Interaction
Anistreplase,Tositumomab (I-131),Major
Amphotericin B (lipid complex),Iothalamic acid,Major
Frovatriptan,Sodium sulfate,No Interaction
Carteolol,Gadobenic acid,Moderate
Deflazacort,Satralizumab,No Interaction
Promethazine,Levetiracetam,Moderate
Conjugated estrogens,Hepatitis A Vaccine,No Interaction
Amlodipine,Deferasirox,Moderate
Etodolac,Tolbutamide,Moderate
Ibritumomab tiuxetan,Measles virus vaccine live attenuated,Major
Atenolol,Iopodic acid,Moderate
Lanthanum carbonate,Thyrotropin alfa,No Interaction
Dexamethasone (nasal),Givosiran,No Interaction
Diazepam,Voxelotor,No Interaction
Fluticasone (topical),Rilonacept,No Interaction
Spironolactone,Leucovorin,Unknown
Desogestrel,Valaciclovir,No Interaction
Cobicistat,Duvelisib,Major
"Insulin human (inhalation, rapid acting)",Natalizumab,No Interaction
Fludrocortisone,Lacosamide,No Interaction
Cyclopentolate (ophthalmic),Rifapentine,No Interaction
Ofloxacin,Ioversol,Unknown
"Interferon alfa-2a, Recombinant",Tiludronic acid,No Interaction
Labetalol,Nitrous acid,Moderate
Digoxin Immune Fab (Ovine),Vitamin A,No Interaction
Elagolix,Macimorelin,Moderate
Cetirizine,Prednisolone,Unknown
Amikacin,Ioxilan,Major
Tositumomab,Olaparib,Moderate
Folic acid,Hydralazine,No Interaction
Levacetylmethadol,Macimorelin,Major
"Interferon alfa-2a, Recombinant",Strontium chloride Sr-89,Moderate
Prednisolone,Didanosine,Unknown
Diroximel fumarate,Dofetilide,No Interaction
Gadofosveset trisodium,Gefitinib,No Interaction
Tositumomab (I-131),Human papillomavirus type 11 L1 capsid protein antigen,Moderate
Edrophonium,Amifampridine,Moderate
Suvorexant,Cobicistat,Major
Apremilast,Tretinoin,No Interaction
Lidocaine,Sirolimus,No Interaction
Prednisolone,Rufinamide,Moderate
Amphotericin B,Danazol,No Interaction
Ibritumomab tiuxetan,Acetylsalicylic acid,Major
Attapulgite,Ciclopirox,No Interaction
Apixaban,Iodide I-123,Moderate
Folic acid,Glipizide,Unknown
Rofecoxib,Macimorelin,Moderate
Loxapine,Tipranavir,No Interaction
Celecoxib,Promethazine,Moderate
Granisetron,Pindolol,No Interaction
Cefotaxime,Rivastigmine,No Interaction
Chlorambucil,Deferiprone,Major
Insulin lispro (protamine),Promethazine,Moderate
Castor oil,Tetracaine (ophthalmic),No Interaction
Chloroquine,Deferiprone,Major
Propantheline,Sitagliptin,No Interaction
Promethazine,Midostaurin,Moderate
Sermorelin,Insulin aspart (aspart),Moderate
Ibutilide,Proparacaine (ophthalmic),No Interaction
Thiethylperazine,Promethazine,Moderate
Mycophenolic acid,Lanthanum carbonate,Moderate
Prednisolone,Vitamin D,Unknown
Fluphenazine,Magnesium carbonate,Minor
Prednisolone,Rapacuronium,Moderate
Deferoxamine,Hydroxyurea,Unknown
Olopatadine (nasal),Sparfloxacin,No Interaction
Trabectedin,Vismodegib,No Interaction
Folic acid,Clonazepam,Unknown
Dienogest,Opicapone,No Interaction
Carmustine,Certolizumab pegol,No Interaction
Levomilnacipran,Methylene blue,Major
Dexbrompheniramine,Iron Dextran,No Interaction
Dexamethasone,Acetylcysteine,Unknown
Azathioprine,Topotecan,No Interaction
Eprosartan,Pazopanib,No Interaction
Gentamicin,Iodipamide,Major
Cefiderocol,Diclofenac (ophthalmic),No Interaction
Letermovir,Rotigotine,No Interaction
Folic acid,Flunisolide,Unknown
Desvenlafaxine,Ioflupane I-123,Moderate
Ezogabine,Ozanimod,No Interaction
Irinotecan,Paliperidone,No Interaction
Carbamazepine,Methylene blue,Major
Conjugated estrogens (topical),Tolbutamide,Moderate
Chloroprocaine,Metipranolol (ophthalmic),No Interaction
Ethanol,Fluticasone (nasal),No Interaction
Vismodegib,Magnesium carbonate,Minor
Cabotegravir,Fosamprenavir,No Interaction
Fludrocortisone,Paroxetine,No Interaction
Capmatinib,Pipecuronium,No Interaction
Chlorphenesin,Hyoscyamine,No Interaction
Atorvastatin,Plantago seed,No Interaction
Sermorelin,Glimepiride,Moderate
Amcinonide,Proparacaine (ophthalmic),No Interaction
Lactulose,Prednisolone,Moderate
Dihydroergotamine,Meticillin,No Interaction
Griseofulvin,Thallous Chloride,No Interaction
Iron,Tigecycline,No Interaction
Clomipramine,Poliovirus type 1 antigen (formaldehyde inactivated),No Interaction
Clevidipine,Tuberculin purified protein derivative,No Interaction
Guanidine,Linagliptin,No Interaction
Maprotiline,Iopamidol,Major
Naloxone,Dexamethasone,Unknown
Tositumomab,Capsicum,Minor
Cetirizine,Iodide I-123,Moderate
Phentolamine,Iloperidone,Moderate
Promethazine,Dexamethasone,Unknown
Cannabidiol,Omeprazole,No Interaction
Mannitol,Paricalcitol,Unknown
Dexamethasone,Milk thistle,No Interaction
Leucovorin,Dactinomycin,Unknown
Rivastigmine,Sulfinpyrazone,No Interaction
Belantamab mafodotin,Calcium acetate,No Interaction
Vitamin A,Fluconazole,Unknown
Gemcitabine,Strontium chloride Sr-89,Moderate
Naloxegol,Selexipag,No Interaction
Zoledronic acid,Prednisolone,Unknown
Calcitriol (topical),Glycerin,No Interaction
Astemizole,Diflunisal,No Interaction
Cefotaxime,Levobupivacaine,No Interaction
Ioflupane I-123,Sulfadoxine,No Interaction
Deferasirox,Brentuximab vedotin,Moderate
Amyl Nitrite,Paraldehyde,Moderate
Chloroquine,Cobicistat,Moderate
Quinapril,Acetylcysteine,Unknown
Iodixanol,Acetylcysteine,Unknown
Caffeine,Clobetasol,No Interaction
Tolbutamide,Garlic,Minor
Hydromorphone,Diazoxide,Moderate
Prochlorperazine,Physostigmine (ophthalmic),Moderate
Triprolidine,Physostigmine,Moderate
Fenofibrate,Fentanyl,No Interaction
Cobicistat,Copanlisib,Major
Isocarboxazid,Iohexol,Major
Fosaprepitant,Sermorelin,No Interaction
Promethazine,Sodium bicarbonate,Unknown
Nicardipine,Promethazine,Moderate
Cidofovir,Iopromide,Major
Amifampridine,Apalutamide,No Interaction
Grepafloxacin,Promethazine,Major
Caffeine,Terbinafine,Minor
Epinephrine (topical),Rizatriptan,No Interaction
Cefditoren,Gemifloxacin,No Interaction
Bisoprolol,Pyrantel,No Interaction
Methylphenobarbital,Osilodrostat,No Interaction
Deferasirox,Palbociclib,Moderate
Cefprozil,Eliglustat,No Interaction
Amlodipine,Promethazine,Moderate
Clocortolone (topical),Tolbutamide,Minor
Thioridazine,Diazoxide,Moderate
Benzylpenicillin,Iodide I-131,Moderate
Albiglutide,Flumazenil,No Interaction
Bupropion,"Thyroid, porcine",No Interaction
Abiraterone,Sodium ferric gluconate complex,No Interaction
Benzatropine,Thiethylperazine,No Interaction
Vitamin A,Furosemide,Unknown
Darolutamide,Midodrine,No Interaction
Flibanserin,Umeclidinium,No Interaction
Folic acid,Cinacalcet,Unknown
Cemiplimab,Diclofenac (topical),No Interaction
Cefaclor,Palifermin,No Interaction
Doxepin,Iobenguane (I-131),Major
Cevimeline,Sonidegib,No Interaction
Formoterol,Methylene blue,Moderate
Ibritumomab tiuxetan,Dasatinib,Major
Fentanyl,Norgestimate,No Interaction
Isosorbide dinitrate,Ioversol,Unknown
Diatrizoate,Capreomycin,Major
Cevimeline,Phenyl salicylate,No Interaction
Ivacaftor,Somatotropin,No Interaction
Felbamate,Deferiprone,Major
Betaxolol,Methacholine,Major
Calcium glubionate anhydrous,Metoclopramide,No Interaction
Desipramine,Cobicistat,Moderate
Lidocaine (ophthalmic),Procyclidine,No Interaction
Butorphanol,Iopamidol,Major
Oxymetazoline (nasal),Iobenguane (I-131),Major
Doxercalciferol,Oxymetholone,No Interaction
Picosulfuric acid,Fludeoxyglucose (18F),Moderate
Dextromethorphan,Promethazine,Moderate
Lactulose,Acetylcysteine,Unknown
Iobenguane (I-131),Upadacitinib,Major
Loteprednol (ophthalmic),Tromethamine,No Interaction
Cobicistat,Fosnetupitant,Minor
Sulfadiazine,Iodide I-123,Moderate
Sotalol,Ioxilan,Moderate
Antithrombin Alfa,Stanozolol,No Interaction
Iobenguane (I-131),Iopromide,Major
Binimetinib,Phenelzine,No Interaction
Gadodiamide,Carteolol (ophthalmic),Moderate
Enalapril,Iron Dextran,No Interaction
Liotrix,Pramipexole,No Interaction
Paricalcitol,Magnesium carbonate,Moderate
Neratinib,Vinblastine,No Interaction
Econazole,Risperidone,No Interaction
Ethinylestradiol,Deferasirox,Moderate
Fosamprenavir,Cobicistat,Moderate
Gadodiamide,Amlodipine,Unknown
Tramadol,Cobicistat,Moderate
Ambenonium,Eszopiclone,No Interaction
Aminoglutethimide,Topiramate,No Interaction
Loratadine,Penicillamine,No Interaction
Sotalol,Gadofosveset trisodium,Moderate
Samarium (153Sm) lexidronam,Baricitinib,Major
Labetalol,Gadobenic acid,Moderate
Lindane,Pirbuterol,No Interaction
Kaolin,Voriconazole,No Interaction
Coccidioides immitis spherule,Dulaglutide,No Interaction
Salbutamol,Galactose,Unknown
Pimecrolimus,Trimethadione,No Interaction
Mannitol,Arformoterol,Moderate
Tositumomab (I-131),Etodolac,Major
Ethanol,Maprotiline,Moderate
Ketamine,Plazomicin,No Interaction
Deferiprone,Copper gluconate,Moderate
Ezetimibe,Tolbutamide,Unknown
Betamethasone,Macimorelin,Moderate
Fenfluramine,Naloxone,Minor
Acebutolol,Palifermin,No Interaction
Meloxicam,Theophylline,No Interaction
Folic acid,Dutasteride,Unknown
Arbutamine,Beclomethasone dipropionate,No Interaction
Imiquimod,Tubocurarine,No Interaction
Gemfibrozil,Pegvisomant,No Interaction
Etodolac,Deferasirox,Major
Imipramine,Iobenguane (I-123),Moderate
Lepirudin,Tositumomab,Major
Ofloxacin,Phenindamine,No Interaction
Methylprednisolone (topical),Primaquine,No Interaction
Flumazenil,Oxymetazoline (topical),No Interaction
Finasteride,Piperazine,No Interaction
Budesonide,Pralatrexate,No Interaction
Calcium glubionate anhydrous,Risperidone,No Interaction
Folic acid,Acetylcysteine,Unknown
Methotrexate,Strontium chloride Sr-89,Moderate
Perphenazine,Iopamidol,Major
Diroximel fumarate,Ketorolac (ophthalmic),No Interaction
Ripretinib,Secobarbital,No Interaction
Flurazepam,Levamlodipine,No Interaction
Mephentermine,Iobenguane (I-123),Moderate
Budesonide,Doxacurium,No Interaction
Eplerenone,Interferon beta-1b,No Interaction
Propylhexedrine (nasal),Methylene blue,Moderate
Aurothioglucose,Siltuximab,No Interaction
Botulinum toxin type A,Phenylephrine (nasal),No Interaction
Dextromethorphan,Oxytetracycline,No Interaction
Isosorbide mononitrate,Reteplase,No Interaction
Glipizide,Metipranolol (ophthalmic),No Interaction
Diatrizoate,Ketorolac,Major
Cefiderocol,Pancrelipase,No Interaction
Cyclandelate,Doravirine,No Interaction
Interferon alfa-n3,Somapacitan,No Interaction
Deflazacort,Ethanol,No Interaction
Chlorhexidine,Estradiol,No Interaction
Hydroxyurea,Deferiprone,Major
Lidocaine,Acetylcysteine,Unknown
Ibritumomab tiuxetan,Tositumomab,Major
Fluconazole,Oxamniquine,No Interaction
Nitroprusside,Iodide I-131,Moderate
Sildenafil,Prednisolone,Unknown
Daratumumab,Doxylamine,No Interaction
Folic acid,Lamotrigine,Moderate
Tolbutamide,Nadolol,Moderate
Methylphenidate,Pyrazinamide,No Interaction
Chloroquine,Tazemetostat,No Interaction
Buprenorphine,Amyl Nitrite,Moderate
Cefaclor,Desmopressin,No Interaction
Acarbose,Zinc sulfate,No Interaction
Carvedilol,Iopromide,Moderate
Guanidine,St. John's Wort,No Interaction
Tositumomab (I-131),Tazemetostat,Major
Conjugated estrogens (topical),Fostamatinib,No Interaction
